fdcId,Name,Quantity,Unit,Price ($),Link to safeway site (college ave),Notes
2120006,chicken breast tenders,1,lb,7.99,https://www.safeway.com/shop/product-details.970020211.html,
2390897,Atlantic salmon fillet,1,lb,10.99,https://www.safeway.com/shop/product-details.186190041.html,
2344719,Avocado,5,oz,2.00,https://www.safeway.com/shop/product-details.184040105.html,
2577037,Extra virgin olive oil,17,fluid oz,7.99,https://www.safeway.com/shop/product-details.115200061.html,
2261421,Oat - Whole Grain,42,oz,6.99,https://www.safeway.com/shop/product-details.111050070.html,
2345841,Honey,12,oz,5.99,https://www.safeway.com/shop/product-details.960123341.html,
2067508,Greek Yogurt Plain,32,oz,6.99,https://www.safeway.com/shop/product-details.960127861.html,
2608592,Raw Almonds,16,oz,7.99,https://www.safeway.com/shop/product-details.960533142.html,
2099349,Spinach,16,oz,5.99,https://www.safeway.com/shop/product-details.184650215.html,
1858805,Quinoa ,16,oz,3.79,https://www.safeway.com/shop/product-details.960542069.html,
2670943,Parsley,0.35,oz,4.49,https://www.safeway.com/shop/product-details.960113064.html,
2341566,Kidney(chicken),1.25,lbs,4.99,https://www.safeway.com/shop/product-details.184070124.html,
1859624,Ripe olives,2,oz,1.99,https://www.safeway.com/shop/product-details.107150005.html,
2345293,Green Cabbage,1,lb,1.49,https://www.safeway.com/shop/product-details.184310009.html,
2345173,Carrots,1,lb,1.49,https://www.safeway.com/shop/product-details.184320053.html,
2343189,Whole Wheat Bread,22,oz,2.99,https://www.safeway.com/shop/product-details.960011199.html,
2570691,Spaghetti Pasta,16,oz,2.50,https://www.safeway.com/shop/product-details.128200289.html,
2514744,Ground beef,3,lb,14.97,https://www.safeway.com/shop/product-details.188100109.html,
2101796,Shredded cheese,32,oz,9.99,https://www.safeway.com/shop/product-details.137050452.html,
2340762,Whole Milk,128,fluid oz,5.99,https://www.safeway.com/shop/product-details.136010121.html,
169255,Portabello Mushrooms,1,oz,0.50,https://www.safeway.com/shop/product-details.960073833.html,
1922954,Tomatoes,10,oz,3.69,https://www.safeway.com/shop/product-details.970063794.html,
2345304,Cucumber,32,oz,5.99,https://www.safeway.com/shop/product-details.960538211.html,
2345292,Brussels Sprouts,1,lb,3.99,https://www.safeway.com/shop/product-details.184300031.html,
2068232,Chickpeas,16,oz,1.50,https://www.safeway.com/shop/product-details.124150020.html,
578523,Oranges,4,lb,3.99,https://www.safeway.com/shop/product-details.184080293.html,
2286928,Brown rice,16,oz,1.49,https://www.safeway.com/shop/product-details.126150682.html,
2428955,Zucchini,1,lb,2.99,https://www.safeway.com/shop/product-details.184560105.html,
2388443,Grapes,2,lb,6.99,https://www.safeway.com/shop/product-details.184100011.html,
2409200,Cauliflower,10,oz,3.49,https://www.safeway.com/shop/product-details.970022709.html,
2094567,Cage free large eggs,1,dozen,5.99,https://www.safeway.com/shop/product-details.960273951.html,
