fdcId,Name,Quantity,Unit,Price ($),Link to safeway site (college ave),Notes
2344719,Avocado,5,oz,2.00,https://www.safeway.com/shop/product-details.184040105.html,Didn't have weight listed on website so used average weight of medium avocado
2577037,Extra virgin olive oil,17,oz,7.99,https://www.safeway.com/shop/product-details.115200061.html,
2261421,Oat - Whole Grain,42,oz,6.99,https://www.safeway.com/shop/product-details.111050070.html,
2608592,Raw Almonds,16,oz,7.99,https://www.safeway.com/shop/product-details.960533142.html,
2012128,Banana,1,lb,1.99,https://www.safeway.com/shop/product-details.184060028.html,
2099349,Spinach,16,oz,5.99,https://www.safeway.com/shop/product-details.184650215.html,
1858805,Quinoa ,16,oz,3.79,https://www.safeway.com/shop/product-details.960542069.html,
2670943,Parsley,0.35,oz,4.49,https://www.safeway.com/shop/product-details.960113064.html,
1859624,Ripe olives,2.25,oz,1.99,https://www.safeway.com/shop/product-details.107150005.html,
2345210,Sweet Potato/Yam,1,lb,1.99,https://www.safeway.com/shop/product-details.184580027.html,
2345293,Green Cabbage,1,lb,1.49,https://www.safeway.com/shop/product-details.184310009.html,
2262072,Peanut Butter,16.3,oz,3.99,https://www.safeway.com/shop/product-details.960110940.html,
2345173,Carrots,1,lb,1.49,https://www.safeway.com/shop/product-details.184320053.html,
2343189,Whole Wheat Bread,22,oz,2.99,https://www.safeway.com/shop/product-details.960011199.html,
168877,Long Grain rice,32,oz,2.49,https://www.safeway.com/shop/product-details.126150019.html,
2570691,Spaghetti Pasta,16,oz,2.50,https://www.safeway.com/shop/product-details.128200289.html,
169255,Portabello Mushrooms,1,oz,0.50,https://www.safeway.com/shop/product-details.960073833.html,
1922954,Tomatoes,10,oz,3.69,https://www.safeway.com/shop/product-details.970063794.html,
2345304,Cucumber,32,oz,5.99,https://www.safeway.com/shop/product-details.960538211.html,
2345292,Brussels Sprouts,1,lb,3.99,https://www.safeway.com/shop/product-details.184300031.html,
2344777,Strawberries,1,lb,5.99,https://www.safeway.com/shop/product-details.184070124.html,
530709,Honeycrisp Apple,1,lb,3.99,https://www.safeway.com/shop/product-details.184070124.html,
2345287,Green Asparagus,1,lb,2.99,https://www.safeway.com/shop/product-details.184070124.html,
2165451,GoMacro Protein Bar,2.3,oz,2.99,https://www.safeway.com/shop/product-details.184070124.html,
2340791,Almond Breeze Unsweetened Original Almond Milk,64,oz,4.99,https://www.safeway.com/shop/product-details.184070124.html,
1910113,Tofu,14,oz,3.29,https://www.safeway.com/shop/product-details.184070124.html,
2154809,Forager Blueberry Cashewmilk Yogurt,24,oz,6.79,https://www.safeway.com/shop/product-details.184070124.html,
1996460,Gardein Vegan Frozen Mandarin Orange Crispy Chick'n,10.5,oz,6.79,Gardein Vegan Frozen Mandarin Orange Crispy Chick'n - 10.5 Oz - Safeway,
2345151,Broccoli Crown,1,lb,3.49,https://www.safeway.com/shop/product-details.184070124.html,
